set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set4,MP,Class1_9_50_100_25_75,50,97,100,100,3980,4373,50,97,100,100,3980,4373,9911,9911,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class2_1_10_100_10_50,10,23,100,100,758,625,10,23,100,100,758,625,9584,9584,0,1,0,0,0.001,0,0.539,0.54
Set4,MP,Class2_1_10_100_25_75,10,32,100,100,1625,1529,10,32,100,100,1625,1529,9211,9211,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class2_1_20_100_10_50,20,48,100,100,1640,1578,20,48,100,100,1640,1578,9913,9913,0,1,0,0,0.001,0.001,0.002,0.004
Set4,MP,Class2_1_20_100_25_75,20,47,100,100,2439,2453,20,47,100,100,2439,2453,9736,9736,0,1,0,0,0,0,0,0
Set4,MP,Class2_1_30_100_10_50,30,82,100,100,2428,2458,28,82,100,100,2428,2458,9964,9964,0,1,0,0.001,0.001,0.002,0.061,0.065
Set4,MP,Class2_1_30_100_25_75,30,78,100,100,3689,3624,30,78,100,100,3689,3624,9920,9920,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class2_1_40_100_10_50,40,87,100,100,2523,2472,39,87,100,100,2523,2472,9989,9989,0,1,0,0.001,0.002,0.002,0.149,0.154
Set4,MP,Class2_1_40_100_25_75,40,97,100,100,5259,4723,39,97,100,100,5259,4723,9966,9966,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class2_1_50_100_10_50,50,133,100,100,4008,3828,49,133,100,100,4008,3828,10000,10000,0,1,0,0.001,0.001,0.004,0,0.006
Set4,MP,Class2_1_50_100_25_75,50,121,100,100,5995,5685,50,121,100,100,5995,5685,9888,9888,0,1,0,0,0.001,0.001,0,0.002
Set4,MP,Class2_2_10_100_10_50,10,28,100,100,853,820,10,28,100,100,853,820,9716,9716,0,1,0,0,0.001,0.001,0.01,0.012
Set4,MP,Class2_2_10_100_25_75,10,27,100,100,1173,1324,10,27,100,100,1173,1324,9190,9190,0,1,0,0,0.001,0,0.001,0.002
