set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS1-180,500,2000,100,100,94212,92908,494,2000,100,100,94212,92908,30000,30000,30000,30000,0,1,0,0.023,0,0,0,0.023
Set7,NGCUTFS,NGCUTFS1-181,1000,1000,100,100,47004,49043,975,1000,100,100,47004,49043,30000,30000,30000,30000,0,1,0,0.039,0,0,0,0.039
Set7,NGCUTFS,NGCUTFS1-182,1000,1000,100,100,49095,47231,977,1000,100,100,49095,47231,30000,30000,30000,30000,0,1,0,0.038,0,0,0,0.038
Set7,NGCUTFS,NGCUTFS1-183,1000,1000,100,100,48296,48837,974,1000,100,100,48296,48837,30000,30000,30000,30000,0,1,0,0.043,0,0,0,0.043
Set7,NGCUTFS,NGCUTFS1-184,1000,1000,100,100,47867,49213,987,1000,100,100,47867,49213,30000,30000,30000,30000,0,1,0,0.041,0,0,0,0.041
Set7,NGCUTFS,NGCUTFS1-185,1000,1000,100,100,48151,47557,968,1000,100,100,48151,47557,30000,30000,30000,30000,0,1,0,0.045,0,0,0,0.045
Set7,NGCUTFS,NGCUTFS1-186,1000,1000,100,100,46208,47618,971,1000,100,100,46208,47618,30000,30000,30000,30000,0,1,0,0.045,0,0,0,0.045
Set7,NGCUTFS,NGCUTFS1-187,1000,1000,100,100,48287,47590,972,1000,100,100,48287,47590,30000,30000,30000,30000,0,1,0,0.039,0,0,0,0.039
Set7,NGCUTFS,NGCUTFS1-188,1000,1000,100,100,48026,50136,976,1000,100,100,48026,50136,30000,30000,30000,30000,0,1,0,0.041,0,0,0,0.041
Set7,NGCUTFS,NGCUTFS1-189,1000,1000,100,100,49024,48322,969,1000,100,100,49024,48322,30000,30000,30000,30000,0,1,0,0.04,0,0,0,0.04
Set7,NGCUTFS,NGCUTFS1-190,1000,1000,100,100,46859,48615,977,1000,100,100,46859,48615,30000,30000,30000,30000,0,1,0,0.04,0,0,0,0.04
Set7,NGCUTFS,NGCUTFS1-191,1000,3000,100,100,147828,147585,977,3000,100,100,147828,147585,30000,30000,30000,30000,0,1,0,0.042,0,0,0,0.042
Set7,NGCUTFS,NGCUTFS1-192,1000,3000,100,100,146409,142407,970,3000,100,100,146409,142407,30000,30000,30000,30000,0,1,0,0.045,0,0,0,0.045
Set7,NGCUTFS,NGCUTFS1-193,1000,3000,100,100,149688,142098,971,3000,100,100,149688,142098,30000,30000,30000,30000,0,1,0,0.041,0,0,0,0.041
Set7,NGCUTFS,NGCUTFS1-194,1000,3000,100,100,145056,141417,981,3000,100,100,145056,141417,30000,30000,30000,30000,0,1,0,0.045,0,0,0,0.045
Set7,NGCUTFS,NGCUTFS1-195,1000,3000,100,100,145011,143940,974,3000,100,100,145011,143940,30000,30000,30000,30000,0,1,0,0.042,0,0,0,0.042
Set7,NGCUTFS,NGCUTFS1-196,1000,3000,100,100,144864,142368,979,3000,100,100,144864,142368,30000,30000,30000,30000,0,1,0,0.048,0,0,0,0.048
Set7,NGCUTFS,NGCUTFS1-197,1000,3000,100,100,141888,144192,974,3000,100,100,141888,144192,30000,30000,30000,30000,0,1,0,0.045,0,0,0,0.045
