set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-169,500,1500,100,100,66864,63135,494,1500,100,100,66864,63135,30000,30000,0.0,1,0,0.022,0.0,0.0,0.0,0.022
Set7,NGCUTFS,NGCUTFS2-170,500,1500,100,100,63429,67455,494,1500,100,100,63429,67455,30000,30000,0.0,1,0,0.021,0.0,0.0,0.0,0.021
Set7,NGCUTFS,NGCUTFS2-171,500,2000,100,100,82896,85452,491,2000,100,100,82896,85452,30000,30000,0.0,1,0,0.025,0.0,0.0,0.0,0.025
Set7,NGCUTFS,NGCUTFS2-172,500,2000,100,100,81680,85108,493,2000,100,100,81680,85108,30000,30000,0.0,1,0,0.028,0.0,0.0,0.0,0.028
Set7,NGCUTFS,NGCUTFS2-173,500,2000,100,100,87864,91420,495,2000,100,100,87864,91420,30000,30000,0.0,1,0,0.026,0.0,0.0,0.0,0.026
Set7,NGCUTFS,NGCUTFS2-174,500,2000,100,100,85820,86724,492,2000,100,100,85820,86724,30000,30000,0.0,1,0,0.026,0.0,0.0,0.0,0.026
Set7,NGCUTFS,NGCUTFS2-175,500,2000,100,100,86508,87152,160,538,100,100,20090,21452,30000,30000,0.0,1,0,0.058,0.004,0.0,0.069,0.131
Set7,NGCUTFS,NGCUTFS2-176,500,2000,100,100,86748,84832,493,2000,100,100,86748,84832,30000,30000,0.0,1,0,0.026,0.0,0.0,0.0,0.026
Set7,NGCUTFS,NGCUTFS2-177,500,2000,100,100,80492,88628,493,2000,100,100,80492,88628,30000,30000,0.0,1,0,0.028,0.0,0.0,0.0,0.028
Set7,NGCUTFS,NGCUTFS2-178,500,2000,100,100,88400,78988,158,538,100,100,21950,18419,30000,30000,0.0,1,0,0.036,0.0,0.0,0.0,0.036
Set7,NGCUTFS,NGCUTFS2-179,500,2000,100,100,85100,85544,495,2000,100,100,85100,85544,30000,30000,0.0,1,0,0.029,0.0,0.0,0.0,0.029
Set7,NGCUTFS,NGCUTFS2-180,500,2000,100,100,88700,85420,494,2000,100,100,88700,85420,30000,30000,0.0,1,0,0.027,0.0,0.0,0.0,0.027
Set7,NGCUTFS,NGCUTFS2-181,1000,1000,100,100,42306,42831,973,1000,100,100,42306,42831,30000,30000,0.0,1,0,0.05,0.0,0.0,0.0,0.05
Set7,NGCUTFS,NGCUTFS2-182,1000,1000,100,100,41429,42484,969,1000,100,100,41429,42484,30000,30000,0.0,1,0,0.052,0.0,0.0,0.0,0.052
Set7,NGCUTFS,NGCUTFS2-183,1000,1000,100,100,42728,42606,974,1000,100,100,42728,42606,30000,30000,0.0,1,0,0.051,0.0,0.0,0.0,0.051
Set7,NGCUTFS,NGCUTFS2-184,1000,1000,100,100,42806,42600,962,1000,100,100,42806,42600,30000,30000,0.0,1,0,0.048,0.0,0.0,0.0,0.048
Set7,NGCUTFS,NGCUTFS2-185,1000,1000,100,100,42188,42657,969,1000,100,100,42188,42657,30000,30000,0.0,1,0,0.047,0.0,0.0,0.0,0.047
Set7,NGCUTFS,NGCUTFS2-186,1000,1000,100,100,42871,43214,975,1000,100,100,42871,43214,30000,30000,0.0,1,0,0.048,0.0,0.0,0.0,0.048
Set7,NGCUTFS,NGCUTFS2-187,1000,1000,100,100,44234,41882,975,1000,100,100,44234,41882,30000,30000,0.0,1,0,0.055,0.0,0.0,0.0,0.055
Set7,NGCUTFS,NGCUTFS2-188,1000,1000,100,100,42458,41424,971,1000,100,100,42458,41424,30000,30000,0.0,1,0,0.05,0.0,0.0,0.0,0.05
Set7,NGCUTFS,NGCUTFS2-189,1000,1000,100,100,44365,40192,968,1000,100,100,44365,40192,30000,30000,0.0,1,0,0.054,0.0,0.0,0.0,0.054
Set7,NGCUTFS,NGCUTFS2-190,1000,1000,100,100,40508,43299,968,1000,100,100,40508,43299,30000,30000,0.0,1,0,0.051,0.0,0.0,0.0,0.051
Set7,NGCUTFS,NGCUTFS2-191,1000,3000,100,100,132360,133317,974,3000,100,100,132360,133317,30000,30000,0.0,1,0,0.05,0.0,0.0,0.0,0.05
Set7,NGCUTFS,NGCUTFS2-192,1000,3000,100,100,123291,124773,975,3000,100,100,123291,124773,30000,30000,0.0,1,0,0.057,0.0,0.0,0.0,0.057
Set7,NGCUTFS,NGCUTFS2-193,1000,3000,100,100,126066,130662,973,3000,100,100,126066,130662,30000,30000,0.0,1,0,0.054,0.0,0.0,0.0,0.054
