set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,CU(1-11),CU4,45,113,285,354,11979,14204,45,113,285,354,11993,14226,99495,99495,99495,99495,0,1,0,0.003,0.016,0,0,0.019
Set1,CU(1-11),CU5,50,120,456,385,22609,17218,50,120,456,385,22690,17255,173364,173364,173364,173364,0,1,0,0.047,0.015,0.015,0,0.077
Set1,CU(1-11),CU6,45,124,356,447,17368,18875,45,124,356,447,17385,18880,158572,158572,158572,158572,0,1,0,0.032,0.031,0,0,0.063
Set1,CU(1-11),CU7,25,56,563,458,11852,10575,26,56,563,458,11994,10637,247150,247150,247150,247150,0,1,0,0.012,0.028,0.001,0.002,0.043
Set1,CU(1-11),CU8,35,78,587,756,19762,22270,35,78,587,756,19984,22335,433331,433331,433331,433331,0,1,0,0.072,0.044,0,0,0.116
Set1,CU(1-11),CU9,25,76,856,785,26235,24470,28,74,856,785,25482,23868,657055,657055,657055,657055,0,1,0,0.075,0.064,0,0,0.139
Set1,CU(1-11),CU10,40,129,794,985,33832,39951,40,129,794,985,33852,39960,773772,773772,773772,773772,0,1,0,0.115,0.235,0,0.096,0.446
Set1,CU(1-11),CU11,50,134,977,953,37180,40369,48,134,977,953,37180,40369,924696,924696,924696,924696,0,1,0,0.064,0.467,0.028,0.016,0.575
Set1,Hchl(3-8)s,Hchl3s,10,51,127,98,1400,1260,10,51,127,98,1400,1260,12215,12215,12215,12215,0,1,0,0,0,0,11.507,11.507
Set1,Hchl(3-8)s,Hchl6s,22,60,253,244,3971,3932,22,60,253,244,3971,3932,61040,61040,61040,61040,0,1,0,0.002,0,0,0.047,0.049
Set1,Hchl(3-8)s,Hchl7s,40,90,263,241,5573,6499,40,90,263,241,5573,6499,63112,63112,63112,63112,0,1,0,0,0.019,0.008,0.193,0.22
Set1,Hchl(3-8)s,Hchl8s,10,18,49,20,176,115,10,18,49,20,176,115,911,911,911,911,0,1,0,0,0,0,156.025,156.025
Set1,Hchl(3-8)s,Hchl4s',10,30,127,98,789,838,10,30,127,98,789,838,11994,11994,12023,11994,0,1,1,0,0.003,0.002,171.737,363.458
Set1,Hchl(3-8)s,Hchl5s',25,58,205,223,2912,2804,25,58,205,223,2912,2804,45361,45361,45361,45361,0,1,0,0.06,0.067,0.069,26.048,26.244
Set1,OF(1-2),OF1,10,23,70,40,468,473,10,23,70,40,472,477,2737,2737,2737,2737,0,1,0,0,0,0,0.006,0.006
Set1,OF(1-2),OF2,10,24,70,40,594,380,10,24,70,40,603,380,2690,2690,2690,2690,0,1,0,0,0,0,0,0
Set1,STS2s+STS4s,STS2s,30,78,55,85,1739,2194,30,77,55,85,1708,2151,4653,4653,4653,4653,0,1,0,0,0,0.005,0.004,0.009
Set1,STS2s+STS4s,STS4s,20,50,99,99,1443,1421,20,50,99,99,1443,1421,9770,9770,9770,9770,0,1,0,0,0.003,0.001,0.002,0.006
Set1,W,W,20,62,70,40,1742,1529,19,51,70,40,1336,1277,2721,2721,2721,2721,0,1,0,0,0,0.003,0,0.003
Set2,GCUT(1-13),GCUT1,10,10,250,250,1460,1086,10,10,246,250,1784,1123,48368,48368,48368,48368,0,1,0,0,0,0,0,0
Set2,GCUT(1-13),GCUT2,20,20,250,250,2350,2367,20,20,250,250,2437,2455,59307,59307,59307,59307,0,1,0,0.003,0.002,0,0,0.005
Set2,GCUT(1-13),GCUT3,30,30,250,250,3719,3317,30,30,250,250,3889,3338,60241,60241,60241,60241,0,1,0,0,0.016,0,0,0.016
Set2,GCUT(1-13),GCUT4,50,50,250,250,5855,6125,50,50,250,250,5882,6155,60942,60942,60942,60942,0,1,0,0.016,0,0,0,0.016
Set2,GCUT(1-13),GCUT5,10,10,500,500,2064,2628,10,10,497,496,2235,2746,195582,195582,195582,195582,0,1,0,0.011,0.004,0,0.002,0.017
Set2,GCUT(1-13),GCUT6,20,20,500,500,4838,5196,20,20,500,499,5048,5361,236305,236305,236305,236305,0,1,0,0,0.016,0,0,0.016
Set2,GCUT(1-13),GCUT7,30,30,500,500,8041,7298,30,30,500,500,8391,7418,238974,238974,238974,238974,0,1,0,0.016,0,0,0,0.016
Set2,GCUT(1-13),GCUT8,50,50,500,500,11432,12250,50,50,500,500,11634,12321,245758,245758,245758,245758,0,1,0,0.016,0.036,0.002,0,0.054
Set2,GCUT(1-13),GCUT9,10,10,1000,1000,4977,4050,10,10,995,998,5429,4188,919476,919476,919476,919476,0,1,0,0.024,0.021,0,0,0.045
Set2,GCUT(1-13),GCUT10,20,20,1000,1000,9983,10868,20,20,1000,1000,10410,11323,903435,903435,903435,903435,0,1,0,0.041,0.023,0,0,0.064
Set2,GCUT(1-13),GCUT11,30,30,1000,1000,13816,14353,30,30,1000,1000,14151,14829,955389,955389,955389,955389,0,1,0,0.066,0.02,0,0.02,0.106
Set2,GCUT(1-13),GCUT12,50,50,1000,1000,25259,24837,50,50,1000,1000,25557,25003,970744,970744,970744,970744,0,1,0,0.107,0.079,0,0,0.186
Set2,GCUT(1-13),GCUT13,32,32,3000,3000,24690,18345,32,32,3000,3000,24690,18345,8932549,8641992,8932549,8641992,0.032527893,0,1,0.515,41.026,0,298.921,530.008
Set3,C,c1-p1,16,16,20,20,75,94,16,16,20,20,75,94,400,400,400,400,0,1,0,0,0,0,0,0
Set3,C,c1-p2,17,17,20,20,96,79,15,17,20,20,96,79,385,385,385,385,0,1,0,0,0,0.016,19.56,19.576
Set3,C,c1-p3,16,16,20,20,88,74,14,16,20,20,88,74,400,400,400,400,0,1,0,0,0,0,0,0
Set3,C,c2-p1,25,25,40,15,197,77,22,25,40,15,197,77,600,600,600,600,0,1,0,0,0,0,0.051,0.051
Set3,C,c2-p2,25,25,40,15,179,78,21,25,40,15,179,78,597,597,600,597,0,1,1,0,0,0,163.901,165.215
Set3,C,c2-p3,25,25,40,15,190,69,19,25,40,15,190,69,600,600,600,600,0,1,0,0,0,0,0,0
Set3,C,c3-p1,28,28,60,30,309,158,26,28,60,30,309,158,1800,1800,1800,1800,0,1,0,0,0,0.016,0.031,0.047
Set3,C,c3-p2,29,29,60,30,289,171,28,29,60,30,289,171,1782,1782,1798,1782,0,1,1,0.003,0,0.015,152.339,414.313
Set3,C,c3-p3,28,28,60,30,297,166,28,28,60,30,297,166,1800,1800,1800,1800,0,1,0,0,0,0.014,0,0.014
Set3,C,c4-p1,49,49,60,60,403,472,47,49,60,60,403,472,3600,3600,3600,3600,0,1,0,0.01,0.002,0.002,3.732,3.746
Set3,C,c4-p2,49,49,60,60,387,455,46,49,60,60,387,455,3599,3587,3600,3587,0.00333426,0,1,0.02,0,0.003,252.756,536.193
Set3,C,c4-p3,49,49,60,60,416,409,42,49,60,60,416,409,3600,3600,3600,3600,0,1,0,0.021,0.013,0.042,2.152,2.228
Set3,C,c5-p1,73,73,60,90,529,698,58,73,60,90,529,698,5400,5400,5400,5400,0,1,0,0.016,0,0.032,231.277,231.325
Set3,C,c5-p2,73,73,60,90,579,659,60,73,60,90,579,659,5400,5400,5400,5400,0,1,0,0,0.016,0.006,182.167,182.189
Set3,C,c5-p3,73,73,60,90,505,734,61,73,60,90,505,734,5400,5400,5400,5400,0,1,0,0.015,0,0,238.21,238.225
Set3,C,c6-p1,97,97,80,120,779,1183,79,97,80,120,779,1183,9600,9600,9600,9600,0,1,0,0.043,0.001,0.016,53.45,53.51
Set3,C,c6-p2,97,97,80,120,899,990,83,97,80,120,899,990,9600,9590,9600,9590,0.001041667,0,0,0.036,0.001,0.02,529.943,530
Set3,C,c6-p3,97,97,80,120,846,1095,75,97,80,120,846,1095,9600,9594,9600,9594,6.25E-04,0,0,0.035,0.001,0.019,529.946,530.001
Set3,C,c7-p1,196,196,160,240,2321,3167,167,196,160,240,2321,3167,38400,38344,38400,38344,0.001458333,0,0,0.345,0.008,0.219,529.428,530
Set3,C,c7-p2,197,197,160,240,2287,2894,161,197,160,240,2287,2894,38400,38391,38400,38391,2.34E-04,0,0,0.259,0.009,0.216,529.522,530.006
Set3,C,c7-p3,196,196,160,240,2612,2887,169,196,160,240,2612,2887,38400,38341,38400,38341,0.001536458,0,0,0.35,0.007,0.215,529.428,530
Set4,MP,Class1_1_10_100_10_50,10,74,100,100,1879,2153,10,74,100,100,1879,2165,9826,9826,9826,9826,0,1,0,0.008,0,0.001,0.001,0.01
Set4,MP,Class1_1_10_100_25_75,10,14,100,100,645,723,12,14,100,99,662,791,8874,8874,8874,8874,0,1,0,0.001,0,0,0,0.001
